station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC068,-36.50402,145.50816,119.0,11.295,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-02-27 23:19:00+00:00,2014-04-03 01:48:59.900000+00:00,10.0,3,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC068.h5,34.10416550925926
VIC069R,-36.51049,145.978787,168.1,11.654,AGRF,"Unparsable data:
Filename: row number(s)
201712220000.TXT: 82457
201801050000.TXT: 64291","['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-18 00:00:00+00:00,2018-01-20 23:59:59+00:00,1.0,3,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC069R.h5,33.99998842592593
VIC070R,-36.502548,146.525865,206.0,11.717,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-14 00:00:00+00:00,2018-01-21 20:42:04+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC070R.h5,38.862546296296294
VIC071,-36.49474,146.99718,468.0,11.894,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-01-18 04:00:00+00:00,2014-02-22 04:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC071.h5,35.04166550925926
VIC072,-36.47522,147.5272,411.0,11.998,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-01-17 00:00:00+00:00,2014-02-21 10:35:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC072.h5,35.44166550925926
VIC073,-36.506935,147.97253,123.0,12.288,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-21 03:00:00+00:00,2014-01-16 13:39:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC073.h5,56.44444328703704
VIC074,-36.00737,141.03912,142.0,9.341,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-14 03:00:00+00:00,2014-06-23 09:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC074.h5,9.291665509259259
VIC074a,-35.99905,141.10686,,9.363,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-08-21 07:00:00+00:00,2014-09-07 08:58:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC074a.h5,17.08263773148148
VIC075,-35.99693,141.49992,123.0,9.527,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-15 03:00:00+00:00,2014-06-29 04:53:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC075.h5,14.079165509259258
VIC076,-36.03297,142.01686,113.0,9.65,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-16 01:00:00+00:00,2014-06-30 04:59:59.900000+00:00,10.0,3,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC076.h5,14.166665509259259
VIC077,-36.00001,142.50732,110.0,9.934,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-02 02:00:00+00:00,2014-07-15 15:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC077.h5,13.583332175925925
VIC078,-36.01993,143.00235,110.0,10.138,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-01 03:00:00+00:00,2014-07-18 06:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC078.h5,17.166665509259257
